,country,standardName_1
1,bahamas islands,BAHAMAS
2,cayman islands,CAYMAN ISLANDS
3,puerto rico,PUERTO RICO
4,us virgin islands,UNITED STATES VIRGIN ISLANDS
5,cuba,CUBA
6,haiti,HAITI
7,jamaica,JAMAICA
8,st. vincent- grenadines,SAINT VINCENT AND THE GRENADINES
9,trinidad-tobago,TRINIDAD AND TOBAGO
10,bahamas,BAHAMAS
11,dominican republic,DOMINICAN REPUBLIC
12,guadeloupe,GUADELOUPE
13,martinique,MARTINIQUE
14,antigua-barbuda,ANTIGUA AND BARBUDA
15,barbados,BARBADOS
16,dominica,DOMINICA
17,grenada,GRENADA
18,montserrat,MONTSERRAT
19,anguilla,ANGUILLA
20,venezuela,VENEZUELA
21,caribbean,NA
22,monsterrat,MONTSERRAT
23,st. lucia,SAINT LUCIA
24,sint maarten,SINT MAARTEN
25,st. vincent,SAINT LUCIA
26,bermuda,BERMUDA
27,st. vincent-grenadines,SAINT VINCENT AND THE GRENADINES
28,cayman is,CAYMAN ISLANDS
29,dominicanrepublic,DOMINICAN REPUBLIC
30,st. kitts-nevis,SAINT KITTS AND NEVIS
31,st. vincent grenadines,SAINT VINCENT AND THE GRENADINES
32,guyana,GUYANA
33,suriname,SURINAME
34,curacao,CURACAO
35,bequia,SAINT VINCENT AND THE GRENADINES
36,mustique,MARTINIQUE
37,saba,BONAIRE
38,st. eustatius,BONAIRE
39,st. martin,SAINT MARTIN
40,union,REUNION
41,netherlands antilles,NETHERLANDS ANTILLES
42,trinidad- tobago,TRINIDAD AND TOBAGO
43,guadelope,GUADELOUPE
44,m artinique,MARTINIQUE
45,honduras,HONDURAS
46,mexico,MEXICO
47,florida,UNITED STATES
48,texas,UNITED STATES
49,louisiana,UNITED STATES
50,domincian republic,DOMINICAN REPUBLIC
51,turks-caicos,CURACAO
52,guadeloupe (marie galante island),GUADELOUPE
53,st. martin (netherlands),SAINT MARTIN
54,guadeloupe(marie galante island),GUADELOUPE
55,antigua- barbuda,ANTIGUA AND BARBUDA
56,us virgin islands st. lucia,UNITED STATES VIRGIN ISLANDS; SAINT LUCIA
57,antigua barbuda,ANTIGUA AND BARBUDA
58,tobago,TRINIDAD AND TOBAGO
59,barbados ,BARBADOS
60,st. kitts- nevis,SAINT KITTS AND NEVIS
61,bahamas islands(mayaguana island),BAHAMAS
62,british virgin islands,BRITISH VIRGIN ISLANDS
63,pueto rico,PUERTO RICO
64,aruba,ARUBA
65,commonwealth of dominica,DOMINICA
66,dominican republic dominican republic,DOMINICAN REPUBLIC
67,cuba cuba,CUBA
68,antigua,ANTIGUA AND BARBUDA
69,st. kitts,SAINT LUCIA
70,guatemala,GUATEMALA
71,colombia,COLOMBIA
72,nicaragua,NICARAGUA
73,costa rica,COSTA RICA
74,panama,PANAMA
75,trinidad - tobago,TRINIDAD AND TOBAGO
76,puerto rico cuba,PUERTO RICO; CUBA
77,puerto rico puerto rico,PUERTO RICO
78,st. lucia puerto rico,SAINT LUCIA; PUERTO RICO
79,us virgin islands (st.croix island,UNITED STATES VIRGIN ISLANDS
80,st.thomas island) bahamas islands,UNITED STATES VIRGIN ISLANDS; BAHAMAS
81,st.thomas island),UNITED STATES VIRGIN ISLANDS
82,curacao curacao,CURACAO
83,turks caicos,TURKS AND CAICOS ISLANDS
84,jamaica: jamaica:,JAMAICA
85,jamaica jamaica,JAMAICA
86,west indies,NA
87,us virgin islands puerto rico,UNITED STATES VIRGIN ISLANDS; PUERTO RICO
88,netherl ands antilles,NETHERLANDS ANTILLES
89,us virgin islands bahamas,UNITED STATES VIRGIN ISLANDS
90,dominican republic? puerto rico,DOMINICAN REPUBLIC; PUERTO RICO
91,dominican republic?,DOMINICAN REPUBLIC
92,bahamas bahamas,BAHAMAS
93,us virgin islands antigua-barbuda,UNITED STATES VIRGIN ISLANDS; ANTIGUA AND BARBUDA
94,cayman islands (grand cayman island),CAYMAN ISLANDS
95,netherlands,NETHERLANDS
96,d ominican republic,DOMINICAN REPUBLIC
97,curaã§ao,CURACAO
98,turks- caicos islands,TURKS AND CAICOS ISLANDS
99,bahamasislands,BAHAMAS
100,puerto rico antigua,PUERTO RICO
101,us virgin islands bahamas islands,UNITED STATES VIRGIN ISLANDS; BAHAMAS
102,barbados barbados,BARBADOS
103,st. martin (france),SAINT MARTIN
104,haiti puerto rico,PUERTO RICO
105,haiti dominican republic,DOMINICAN REPUBLIC
106,puerto rico haiti,PUERTO RICO
107,venezuela trinidad-tobago,TRINIDAD AND TOBAGO
108,trinidad-tobago dominican republic,DOMINICAN REPUBLIC; TRINIDAD AND TOBAGO
109,dominican republic bahamas islands,DOMINICAN REPUBLIC
110,west indies antigua-barbuda,ANTIGUA AND BARBUDA
111,guadelo upe,GUADELOUPE
112,gu adeloupe,GUADELOUPE
113,turks- caicos,TURKS AND CAICOS ISLANDS
114,bahhamas,BAHAMAS
115,lesser antilles,ANTILLES
116,belize,BELIZE
117,haiti haiti,HAITI
118,guadelouupe,GUADELOUPE
119,cayman islands (cayman brac,CAYMAN ISLANDS
120,grand cayman,CAYMAN ISLANDS
121,little cayman),CAYMAN ISLANDS
122,trinidad,TRINIDAD AND TOBAGO
123,cuba puerto rico,PUERTO RICO
124,little cayman) bahamas islands,CAYMAN ISLANDS; BAHAMAS
125,puerto rico?,PUERTO RICO
126,antigua-barbuada,ANTIGUA AND BARBUDA
127,little cayman,CAYMAN ISLANDS
128,cayman brac,CAYMAN ISLANDS
129,british virgin islands (anegada island),BRITISH VIRGIN ISLANDS
130,domincan republic,DOMINICAN REPUBLIC
131,florida (native),UNITED STATES
132,louisiana (native),UNITED STATES
133,texas (native),UNITED STATES
134,st. kitts-nevis bermuda,SAINT KITTS AND NEVIS
135,jamaica puerto rico,PUERTO RICO; JAMAICA
136,trinidad-tobago trinidad-tobago,TRINIDAD AND TOBAGO
137,antigua antigua,ANTIGUA AND BARBUDA
138,st. lucia antigua,SAINT LUCIA; ANTIGUA AND BARBUDA
139,jamaica (native),JAMAICA
140,costa rica (native),COSTA RICA
141,belize (native),BELIZE
142,mexico (native),MEXICO
143,sint eustatius,BONAIRE
144,cayman islands (grand cayman,CAYMAN ISLANDS
